,period,stateId,producertypeid,energysourceid,capability,capability-units
257,2007,TX,TOT,OOG,308,megawatts
258,2007,TX,TOT,OBM,92,megawatts
259,2007,TX,TOT,OT,245,megawatts
260,2007,TX,TOT,NUC,4860,megawatts
261,2007,TX,TOT,NG,71107,megawatts
262,2007,TX,TOT,HYC,673,megawatts
263,2007,TX,TOT,COL,19817,megawatts
264,2007,TX,IPP,ALL,77369,megawatts
265,2007,TX,IPP,WOO,130,megawatts
266,2007,TX,IPP,WND,4489,megawatts
267,2007,TX,IPP,PET,203,megawatts
268,2007,TX,IPP,OOG,204,megawatts
269,2007,TX,IPP,OBM,92,megawatts
270,2007,TX,IPP,OT,206,megawatts
271,2007,TX,IPP,NUC,4860,megawatts
272,2007,TX,IPP,NG,56265,megawatts
273,2007,TX,IPP,HYC,7,megawatts
274,2007,TX,IPP,COL,10913,megawatts
275,2007,TX,EU,ALL,24569,megawatts
276,2007,TX,EU,WND,1,megawatts
277,2007,TX,EU,PET,13,megawatts
278,2007,TX,EU,OOG,104,megawatts
279,2007,TX,EU,OT,39,megawatts
280,2007,TX,EU,NG,14841,megawatts
281,2007,TX,EU,HYC,666,megawatts
282,2007,TX,EU,COL,8904,megawatts
283,2006,TX,TOT,ALL,100754,megawatts
284,2006,TX,TOT,WOO,130,megawatts
285,2006,TX,TOT,WND,2738,megawatts
286,2006,TX,TOT,PET,220,megawatts
287,2006,TX,TOT,OOG,287,megawatts
288,2006,TX,TOT,OBM,58,megawatts
289,2006,TX,TOT,OT,239,megawatts
290,2006,TX,TOT,NUC,4860,megawatts
291,2006,TX,TOT,NG,71698,megawatts
292,2006,TX,TOT,HYC,681,megawatts
293,2006,TX,TOT,COL,19843,megawatts
294,2006,TX,IPP,ALL,75763,megawatts
295,2006,TX,IPP,WOO,130,megawatts
296,2006,TX,IPP,WND,2736,megawatts
297,2006,TX,IPP,PET,207,megawatts
298,2006,TX,IPP,OOG,183,megawatts
299,2006,TX,IPP,OBM,58,megawatts
300,2006,TX,IPP,OT,200,megawatts
301,2006,TX,IPP,NUC,4860,megawatts
302,2006,TX,IPP,NG,56428,megawatts
303,2006,TX,IPP,HYC,7,megawatts
304,2006,TX,IPP,COL,10954,megawatts
305,2006,TX,EU,ALL,24991,megawatts
306,2006,TX,EU,WND,1,megawatts
307,2006,TX,EU,PET,13,megawatts
308,2006,TX,EU,OOG,104,megawatts
309,2006,TX,EU,OT,39,megawatts
310,2006,TX,EU,NG,15271,megawatts
311,2006,TX,EU,HYC,674,megawatts
312,2006,TX,EU,COL,8889,megawatts
313,2005,TX,TOT,ALL,101046,megawatts
314,2005,TX,TOT,WOO,130,megawatts
315,2005,TX,TOT,WND,1755,megawatts
316,2005,TX,TOT,PET,222,megawatts
317,2005,TX,TOT,OOG,237,megawatts
318,2005,TX,TOT,OBM,57,megawatts
319,2005,TX,TOT,OT,297,megawatts
320,2005,TX,TOT,NUC,4860,megawatts
321,2005,TX,TOT,NG,72629,megawatts
322,2005,TX,TOT,HYC,673,megawatts
323,2005,TX,TOT,COL,20188,megawatts
